Code,Name,Symptoms,Treatments
17,Mucoepidermoid carcinoma,"difficulty,facial_paralysis,facial_weakness,lump,pain_when_swallowing_and_speaking,swelling","Surgery, Radiation therapy"
18,Acinic cell carcinoma,"facial_changes,lump,swelling","Surgery, Radiation therapy"
19,Mucocele,painless_fluid-filled_swelling_in_the_oral_cavity,"Observation, Surgical removal if necessary"
20,Osteochondrosis,"joint_pain,reduced_range_of_motion,stiffness,swelling","Physical therapy, pain medications, rest, surgery"
21,Sialolithiasis,"difficulty_eating,pain,swelling,tenderness","Warm compresses, Saliva stimulation, Sialagogues, Stone removal "
22,Submandibular stones,"bad_taste,dry_mouth,pain,swelling","Hydration,Saliva stimulation, Stone removal"
23,Parotid stones,"bad_taste,dry_mouth,pain,swelling","Hydration,Saliva stimulation, Stone removal"
24,Recurrent salivary stones,frequent_episodes_of_stone_formation,"Hydration,Saliva stimulation, Stone removal"
25,Wharton's duct stones,"bad_taste,dry_mouth,pain,swelling","Hydration,Saliva stimulation, Stone removal"
26,Mumps,"fatigue,fever,headache,swollen_salivary_glands_(usually_parotid)","Supportive care, pain relievers, isolation, vaccination (MMR)"
27,Ludwig's angina,"difficulty_swallowing,drooling,fever,severe_swelling_of_the_floor_of_the_mouth","Intravenous antibiotics, airway management, surgical drainage"
28,Mucocele,"painless_swelling,usually_on_the_lower_lip_or_floor_of_the_mouth","Observation, surgical removal if necessary"
29,Abscess,"fever,pain,pus_formation,redness,swelling","Antibiotics, surgical drainage"
30,Sjögren's syndrome,"dry_mouth_and_eyes,dry_skin,fatigue,joint_pain","Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs"
31,Open-Angle Glaucoma,"gradual_loss_of_peripheral_vision,tunnel_vision","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
32,Angle-Closure Glaucoma,"blurred_vision,halos_around_lights,headache,nausea_and_vomiting,severe_eye_pain","Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
33,Normal-Tension Glaucoma,"gradual_loss_of_vision,visual_field_defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
34,Congenital Glaucoma,"cloudy_or_hazy_eyes,excessive_tearing,sensitivity_to_light","Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure"
35,Secondary Glaucoma,varies_depending_on_the_underlying_cause,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)"
36,Pigmentary Glaucoma,"blurred_vision,eye_pain,halos_around_lights","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
37,Exfoliation Glaucoma,"elevated_intraocular_pressure,visual_field_loss","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
38,Ocular Hypertension,elevated_intraocular_pressure_without_optic_nerve_damage,"Observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)"
39,Low-Tension Glaucoma,"gradual_loss_of_vision,visual_field_defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
40,Anorexia Nervosa,"distorted_body_image,extreme_weight_loss,fear_of_gaining_weight","Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups"
41,Bulimia Nervosa,recurrent_episodes_of_binge_eating_followed_by_purging_behaviors,"Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups"
42,Binge Eating Disorder,recurrent_episodes_of_binge_eating_without_compensatory_behaviors,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups"
43,Avoidant/Restrictive Food Intake Disorder (ARFID),"avoidance_or_restriction_of_certain_foods_or_entire_food_groups,significant_weight_loss_or_failure_to_gain_weight","Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy"
44,Other Specified Feeding or Eating Disorder (OSFED),symptoms_that_do_not_meet_the_full_criteria_for_a_specific_eating_disorder,"Treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary"
45,Orthorexia Nervosa,"healthy_food_choices,obsessive_focus_on_""clean""_eating","Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues"
46,Pica,persistent_consumption_of_non-food_substances,"Behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support"
47,Rumination Disorder,repeated_regurgitation_and_re-chewing_of_food,"Behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications"
48,Transient ischemic attack,sudden_onset_of_neurological_symptoms_that_resolve_within_24_hours,"Antiplatelet medications, Carotid endarterectomy,  Anticoagulant medications, Lifestyle modifications"
49,Pyelonephritis,"back_or_flank_pain,chills,fever,frequent_urination","Antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy"
50,Rotator Cuff Injury,"limited_range_of_motion,shoulder_pain,shoulder_stiffness,weakness_or_loss_of_strength","Non-surgical treatment options: Rest, ice or heat therapy, pain medications, physical therapy exercises, Arthroscopic surgery"
51,Fibromyalgia,"fatigue,sleep_disturbances,widespread_musculoskeletal_pain","Medications (such as pain relievers, antidepressants, anticonvulsants), physical therapy, cognitive-behavioral therapy, stress management techniques, exercise, relaxation techniques, good sleep hygiene"
52,Chronic Fatigue Syndrome,"cognitive_difficulties,extreme_fatigue,unrefreshing_sleep","Symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms"
53,Complex Regional Pain Syndrome (CRPS),"changes_in_skin_color_or_temperature,severe_and_persistent_pain,stiffness,swelling","Medications (such as pain relievers, corticosteroids, anticonvulsants), physical therapy, sympathetic nerve blocks, spinal cord stimulation, occupational therapy, mirror therapy, psychotherapy, graded motor imagery, stress management techniques"
54,Myofascial Pain Syndrome,"localized_muscle_pain,trigger_points","Physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy"
55,Chronic Migraine,"disabling_migraines,recurrent","Medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, Botox injections, neuromodulation devices, acupuncture"
56,Neuropathic Pain,"shooting_or_burning_pain,tingling_or_numbness","Medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (TENS), acupuncture, cognitive-behavioral therapy, relaxation techniques"
57,Gestational Diabetes,high_blood_sugar_levels_during_pregnancy,"Blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider"
58,Pregnancy-Induced Hypertension,high_blood_pressure_during_pregnancy,"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider"
59,Gestational Hypertension,high_blood_pressure_without_proteinuria_(preeclampsia),"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider"
60,Preeclampsia,"headaches,high_blood_pressure,proteinuria,swelling,visual_disturbances","Bed rest, blood pressure monitoring, frequent prenatal visits, medication (such as antihypertensive drugs), magnesium sulfate (for severe cases), delivery of the baby (in severe cases)"
61,Hyperemesis Gravidarum,severe_nausea_and_vomiting_during_pregnancy,"Intravenous fluids to prevent dehydration, anti-nausea medications, nutritional support, rest, monitoring for weight loss and electrolyte imbalance"
62,Urinary Tract Infection (UTI),"cloudy_urine,frequent_urination,painful_urination,pelvic_pain","Antibiotics safe for pregnancy, increased fluid intake, maintaining good hygiene, urine culture and sensitivity testing to guide antibiotic selection"
63,Anemia,"fatigue,pale_skin,shortness_of_breath,weakness","Iron supplementation, dietary changes (iron-rich foods), managing underlying causes (such as treating iron deficiency or vitamin B12 deficiency), prenatal vitamins"
64,Pregnancy-Related Back Pain,"discomfort_in_the_pelvic_area,lower_back_pain","Prenatal exercises (such as stretching and strengthening exercises), good posture, heat or cold therapy, prenatal massages, supportive devices (such as pregnancy belts), physical therapy"
65,Round Ligament Pain,sharp_or_aching_pain_in_the_lower_abdomen_or_groin,"Resting, changing positions slowly, warm compresses, gentle stretching, avoiding sudden movements"
66,Placenta Previa,"painless_bleeding_in_the_third_trimester,vaginal_bleeding","Bed rest, avoiding strenuous activity, frequent prenatal check-ups, potential hospitalization, potential cesarean delivery"
67,Carpal Tunnel Syndrome,"and_pain_in_the_hand_and_fingers,numbness,tingling","Wrist splints, avoiding repetitive hand movements, applying cold or hot compresses, gentle exercises, ergonomic adjustments"
68,Sciatica,"or_numbness_that_radiates_from_the_lower_back_through_the_hips_and_down_the_leg,sharp_pain,tingling","Rest, gentle stretching exercises, warm or cold compresses, prenatal massages, maintaining good posture, avoiding activities that worsen the pain"
69,Varicose Veins,"enlarged,often_in_the_legs,swollen_veins","Elevating legs, wearing compression stockings, regular exercise, avoiding prolonged sitting or standing, maintaining a healthy weight"
70,Hemorrhoids,"itchy,or_painful_veins_in_the_rectal_area,swollen","Increasing fiber intake, staying hydrated, avoiding straining during bowel movements, warm sitz baths, topical creams or ointments, over-the-counter pain relievers (after consulting with a healthcare provider)"
71,Gestational Cholestasis,"itchy_skin,particularly_on_the_hands_and_feet",
72,Liver Cancer,"abdominal_pain,fatigue,jaundice_(yellowing_of_the_skin_and_eyes),loss_of_appetite,nausea,unexplained_weight_loss,vomiting","Surgery, Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy, Radiofrequency ablation, Transarterial chemoembolization (TACE), Selective internal radiation therapy (SIRT), Palliative care, Clinical trials"
73,Atelectasis,"chest_pain,difficulty_breathing,rapid_breathing","Treatment of the underlying cause (such as removal of airway obstruction, treatment of lung infection), deep breathing exercises, coughing techniques, incentive spirometry, chest physiotherapy, bronchodilator medications, supplemental oxygen therapy"
74,Ectopic Pregnancy,"abdominal_pain_or_cramping,shoulder_pain_(if_the_fallopian_tube_ruptures),vaginal_bleeding","Immediate medical attention, potential medical procedures (such as medication or surgery to remove the ectopic pregnancy), close monitoring, emotional support"
75,Choledocholithiasis,"abdominal_pain_(often_in_the_upper_right_quadrant),cholecystectomy,dark_urine,endoscopic_retrograde_cholangiopancreatography_(ercp)_with_stone_removal,jaundice,nausea,pale_stools,sphincterotomy,vomiting","Non-surgical treatment options: Medications to manage pain and discomfort, antibiotics"
76,Cirrhosis,"abdominal_swelling_(ascites),confusion,easy_bruising_and_bleeding,fatigue,jaundice,loss_of_appetite,weight_loss","Treatment aims to manage symptoms, slow down disease progression, and address underlying causes. It may include: lifestyle modifications (e.g., avoiding alcohol, maintaining a healthy diet), medication (e.g., diuretics, lactulose, antiviral drugs), procedures (e.g., paracentesis, transjugular intrahepatic portosystemic shunt), liver transplantation (in severe cases)"
77,Thoracic Aortic Aneurysm,"chest_or_back_pain,difficulty_swallowing,hoarseness,shortness_of_breath","Regular monitoring and imaging tests to assess aneurysm size and growth, lifestyle modifications (e.g., blood pressure control, avoiding smoking, managing cholesterol levels), medication (e.g., beta-blockers, ACE inhibitors) to manage blood pressure and reduce the risk of rupture, surgical intervention"
78,Subdural hemorrhage,"confusion,dizziness,headache,nausea_or_vomiting,seizures,weakness_or_numbness","Immediate medical attention, close monitoring of vital signs and neurological status, diagnostic imaging (such as CT or MRI scan), potential surgical intervention (such as craniotomy or burr hole evacuation), medication to manage symptoms"
79,Congenital rubella,"developmental_delays,hearing_loss,heart_defects,intellectual_disability,liver_or_spleen_enlargement,rash_at_birth,vision_problems","Supportive care to manage symptoms and complications, early intervention services for developmental delays, educational support, vision and hearing interventions, specialized medical care as needed"
80,Diabetic retinopathy,"blurred_or_distorted_vision,dark_or_empty_areas_in_the_visual_field,floaters,impaired_color_vision,vision_loss","Management of blood sugar levels, blood pressure control, cholesterol management, regular eye examinations, laser treatment , intravitreal injections of anti-VEGF medications, vitrectomy"
81,Fibromyalgia,"cognitive_difficulties_(fibro_fog),fatigue,mood_changes,sleep_disturbances,widespread_musculoskeletal_pain","Multidisciplinary approach: Medications for pain management (such as analgesics, antidepressants, and anticonvulsants), physical therapy, occupational therapy, cognitive-behavioral therapy, relaxation techniques, stress management, exercise programs"
82,Ischemia of the Bowel,"bloody_stools,diarrhea,fever,low_blood_pressure,nausea,rapid_heart_rate,severe_abdominal_pain,vomiting","diagnostic tests, intravenous fluids and medications to stabilize the patient, bowel rest, resection, bypass procedure, potential angioplasty"
83,Fetal Alcohol Syndrome,"developmental_delays,facial_abnormalities,growth_deficiencies,intellectual_disability","Early intervention services for developmental delays, educational support, speech and occupational therapy, behavioral interventions, medical management of associated health issues"
84,Peritonitis,"bloating,fever,increased_heart_rate,loss_of_appetite,nausea,severe_abdominal_pain,tenderness,vomiting","Intravenous antibiotics to treat the infection, intravenous fluids to restore hydration, drainage or removal of any underlying fluid or abscess, surgery to repair or remove the source of infection"
85,Abdominal Injury,"abdominal_pain,blood_in_urine_or_stool,bruising,changes_in_bowel_movements,difficulty_breathing,nausea,swelling,tenderness,vomiting","Immediate medical attention, X-ray, CT scan, ultrasound, stabilization of vital signs, pain management, observation for signs of internal bleeding, potential surgical intervention, wound care"
86,Acute Pancreatitis,"fever,jaundice,nausea,rapid_pulse,severe_upper_abdominal_pain,swollen_and_tender_abdomen,vomiting","Hospitalization, intravenous fluids to restore hydration, pain management, bowel rest, nutritional support, medications to control pain and inflammation"
87,Thrombophlebitis,"and_tenderness_along_a_vein,fever,pain_or_discomfort,redness,skin_discoloration,swelling,visible_veins,warmth","Medications to manage pain and inflammation, compression stockings or bandages to promote blood flow, elevation of the affected limb, warm compresses, regular movement and exercise, treatment of underlying causes (such as infection or intravenous catheter removal), anticoagulant therapy to prevent clot formation or progression"
88,Asthma,"chest_tightness,coughing,especially_at_night_or_in_response_to_triggers_such_as_allergens_or_exercise,recurrent_episodes_of_wheezing,shortness_of_breath","Long-term control medications (such as inhaled corticosteroids, long-acting beta-agonists), quick-relief medications (such as short-acting beta-agonists), avoidance of triggers (such as allergens, smoke), regular monitoring of symptoms and lung function, development of an asthma action plan, proper inhaler technique, regular follow-up with a healthcare provider, emergency medications (such as oral corticosteroids) as needed"
89,Restless Leg Syndrome,"uncomfortable_sensation_in_the_legs,urge_to_move_legs_for_relief,usually_in_the_evening_or_at_night","Lifestyle changes (such as regular exercise, avoiding triggers like caffeine), good sleep hygiene (maintaining a regular sleep schedule), leg massages or stretching exercises, hot or cold packs, medication therapy (such as dopamine agonists, anticonvulsants, opioids), iron supplementation (if iron deficiency is present)"
90,Emphysema,"chest_tightness,chronic_cough,fatigue,shortness_of_breath,weight_loss,wheezing","Smoking cessation (the most important intervention), medications to manage symptoms (such as bronchodilators, inhaled corticosteroids), pulmonary rehabilitation (exercise training, breathing techniques), supplemental oxygen therapy (in advanced cases), vaccination against respiratory infections, avoiding exposure to irritants (such as secondhand smoke or air pollutants), regular monitoring of symptoms and lung function, surgical interventions (such as lung volume reduction surgery or lung transplantation)"
91,Induced Abortion,"abdominal_pain,cramping,emotional_distress,fatigue,nausea,vaginal_bleeding","Medical Abortion: Medication (such as mifepristone and misoprostol) is used to induce abortion, which can be done in the early stages of pregnancy. Surgical Abortion: A healthcare professional performs a procedure to remove the pregnancy, which can involve suction aspiration or dilation and curettage (D&C). It's important to consult with a healthcare professional to discuss the options and determine the most suitable method."
92,Acute Sinusitis,"cough,facial_pain_or_pressure,fatigue,fever_(in_some_cases),headache,nasal_congestion,post-nasal_drip,thick_nasal_discharge","Home remedies (such as nasal saline irrigation, steam inhalation), over-the-counter pain relievers (such as acetaminophen or ibuprofen), nasal decongestants (for short-term use), nasal corticosteroids (to reduce inflammation), plenty of fluids and rest, warm compresses, avoidance of irritants (such as smoke or allergens), prescription antibiotics (if bacterial infection is suspected or confirmed), management of underlying causes (such as allergies or nasal polyps), symptom relief medications (such as cough suppressants or antihistamines)"
93,Von Hippel-Lindau Disease,"hemangioblastomas_(tumors_in_the_brain,or_other_organs),other_tumors_or_cysts,pancreatic_cysts/tumors,pheochromocytomas_(adrenal_gland_tumors),renal_cell_carcinomas_(kidney_tumors),retinal_angiomas_(abnormal_blood_vessel_growth_in_the_retina),spinal_cord","Regular monitoring and surveillance to detect and manage tumor growth and associated complications, surgical removal or treatment of tumors if necessary, embolization or radiation therapy for certain tumors, medication or surgery to manage hormonal issues (such as pheochromocytomas), genetic counseling and testing, screening and management for other potential complications (such as kidney function monitoring)"
94,Alcohol Use Disorder,"anxiety,continued_use_despite_negative_consequences_(such_as_relationship_problems,cravings_for_alcohol,health_issues),inability_to_control_or_limit_alcohol_consumption,neglecting_responsibilities,sweating)_when_attempting_to_stop_or_reduce_alcohol_use,tolerance_to_alcohol,withdrawal_symptoms_(such_as_tremors","Detoxification (if necessary), counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups (such as Alcoholics Anonymous), medication (such as disulfiram, naltrexone, acamprosate), addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support"
95,Opioid Use Disorder,"anxiety)_when_attempting_to_stop_or_reduce_use,compulsive_use_of_opioids,continued_use_despite_negative_consequences_(such_as_legal_issues,health_problems),inability_to_control_or_reduce_opioid_use,muscle_aches,strong_desire_or_cravings_for_opioids,tolerance_to_opioids,withdrawal_symptoms_(such_as_nausea","Medication-assisted treatment (such as methadone, buprenorphine, naltrexone), counseling or therapy (such as cognitive-behavioral therapy, contingency management), support groups (such as Narcotics Anonymous), harm reduction strategies, addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support"
96,Stimulant Use Disorder,"decreased_appetite,euphoria,increased_energy_and_alertness,increased_heart_rate_and_blood_pressure,insomnia,irritability,paranoia,psychosis_(in_severe_cases),restlessness","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, medication (if applicable), addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support"
97,Cannabis Use Disorder,"altered_perception_of_time,anxiety_or_paranoia_(in_some_individuals),bloodshot_eyes,continued_use_despite_negative_consequences_(such_as_relationship_problems,impaired_memory_and_concentration,increased_appetite,insomnia)_when_attempting_to_stop_or_reduce_cannabis_use,job_difficulties),relaxation,withdrawal_symptoms_(such_as_irritability","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support"
98,Benzodiazepine Use Disorder,"continued_use_despite_negative_consequences_(such_as_relationship_problems,drowsiness,health_risks),insomnia,memory_impairment,poor_coordination,reduced_anxiety,relaxation,sedation,tremors)_when_attempting_to_stop_or_reduce_benzodiazepine_use,withdrawal_symptoms_(such_as_rebound_anxiety","Gradual tapering off benzodiazepines under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support"
99,Hallucinogen Use Disorder,"altered_perception_of_reality,anxiety_or_paranoia_(in_some_individuals),changes_in_sensory_experiences,feelings_of_connection_or_disconnection,flashbacks_(in_some_individuals),introspective_thoughts,visual_or_auditory_hallucinations","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, harm reduction strategies, ongoing monitoring and support"
100,"Sedative, Hypnotic, or Anxiolytic Use Disorder","continued_use_despite_negative_consequences_(such_as_relationship_problems,drowsiness,health_risks),insomnia,memory_impairment,poor_coordination,reduced_anxiety,relaxation,sedation,tremors)_when_attempting_to_stop_or_reduce_use,withdrawal_symptoms_(such_as_rebound_anxiety","Gradual tapering off sedatives, hypnotics, or anxiolytics under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support"
101,Postpartum Depression,"changes_in_appetite_or_sleep_patterns,difficulty_bonding_with_the_baby,emptiness,feelings_of_guilt_or_worthlessness,frequent_crying,irritability,loss_of_interest_or_pleasure_in_activities,or_hopelessness,overwhelming_fatigue,persistent_feelings_of_sadness,thoughts_of_self-harm_or_harming_the_baby,trouble_concentrating_or_making_decisions","Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), support groups or peer counseling, antidepressant medication (if recommended by a healthcare professional), hormone therapy (in some cases), lifestyle changes (such as exercise, healthy diet, sleep hygiene), involving a partner or family in the care of the baby, social support and understanding from family and friends, regular follow-up and monitoring by healthcare professionals"
102,Coronary Atherosclerosis,"chest_pain_or_discomfort_(angina),dizziness,fatigue,heart_attack_(when_a_coronary_artery_becomes_completely_blocked),irregular_heartbeat,jaw_or_arm_pain_(in_some_cases),nausea,shortness_of_breath,sweating","Lifestyle changes (such as a heart-healthy diet, regular exercise, weight management, smoking cessation), medication (such as aspirin, cholesterol-lowering medications, beta-blockers, calcium channel blockers, nitroglycerin), procedures (such as angioplasty and stenting, coronary artery bypass grafting), cardiac rehabilitation, management of other risk factors (such as high blood pressure, diabetes)"
103,Spondylitis,"chronic_back_pain_and_stiffness,difficulty_maintaining_proper_posture,discomfort_or_pain_in_the_neck,especially_in_the_morning_or_after_periods_of_inactivity,fatigue,inflammation_and_pain_in_other_joints_(such_as_hips,knees),limited_range_of_motion_in_the_spine,shoulders,tenderness_or_swelling_in_affected_areas,tingling_or_numbness_in_extremities_in_severe_cases","Medication (such as nonsteroidal anti-inflammatory drugs, corticosteroids, disease-modifying antirheumatic drugs), physical therapy (including stretching and strengthening exercises), heat or cold therapy, posture correction techniques, lifestyle modifications (such as regular exercise, weight management), assistive devices (such as braces or supports), surgical intervention (in rare cases), pain management techniques (such as acupuncture or transcutaneous electrical nerve stimulation)"
104,Pituitary Adenoma,"cognitive_impairments,erectile_dysfunction,fatigue,growth_abnormalities_in_children,headaches,hormonal_imbalances_(such_as_excessive_production_or_deficiency_of_specific_hormones),infertility,menstrual_irregularities,mood_changes,vision_problems_(such_as_blurred_vision_or_loss_of_peripheral_vision),weight_gain_or_loss","Observation and monitoring (for small, non-secreting tumors that are not causing significant symptoms), medication (to manage hormonal imbalances or reduce tumor size), surgery (transsphenoidal surgery to remove the tumor), radiation therapy (in cases where surgery is not possible or to treat residual or recurrent tumors), targeted therapy (in cases of aggressive or resistant tumors), hormone replacement therapy (if necessary), regular follow-up and monitoring to assess tumor growth and hormone levels, management of associated complications or hormone deficiencies"
105,Uterine Fibroids,"backache,constipation,difficulty_emptying_the_bladder,enlarged_abdomen_or_uterus,frequent_urination,heavy_or_prolonged_menstrual_periods,infertility_or_recurrent_miscarriages_(in_some_cases),leg_pain,pelvic_pain_or_pressure","Watchful waiting (for small or asymptomatic fibroids), medication (such as hormonal birth control, GnRH agonists, progestin-releasing intrauterine devices), minimally invasive procedures (such as uterine artery embolization, myomectomy), hysteroscopic procedures (such as hysteroscopic myomectomy or endometrial ablation), surgical removal of fibroids (such as laparoscopic or robotic-assisted myomectomy, hysterectomy), focused ultrasound ablation, hormonal therapy, alternative approaches (such as acupuncture or herbal remedies)"
106,Idiopathic Nonmenstrual Bleeding,"abnormal_vaginal_bleeding_outside_of_the_menstrual_period,bleeding_after_menopause,bleeding_after_sexual_intercourse,prolonged_or_heavy_bleeding,spotting_or_light_bleeding_between_periods,unpredictable_bleeding_episodes","Evaluation to rule out underlying causes (such as hormonal imbalances, polyps, infections, or uterine abnormalities), hormonal therapy (such as birth control pills, hormone replacement therapy), non-hormonal medications (such as tranexamic acid), dilation and curettage (if necessary to remove excessive tissue or investigate the cause), endometrial ablation (in some cases), hysteroscopy (to examine the uterus), surgery (in rare cases), counseling or support for emotional well-being"
